date,alpha,beta
2017-10-09 00:00:00,0.00043427830385389573,0.0977182119286802
2017-10-10 00:00:00,0.00044596966854322355,0.09911689801349069
2017-10-11 00:00:00,0.00046046241075945024,0.09863273741115498
2017-10-12 00:00:00,0.0004722740021011673,0.09858709178142737
2017-10-13 00:00:00,0.00045945726926869965,0.09706704148715307
2017-10-16 00:00:00,0.00046325494936817746,0.09477876992933236
2017-10-17 00:00:00,0.00046158789542591675,0.09514014501261406
2017-10-18 00:00:00,0.0004449784512904615,0.09700432343803973
2017-10-19 00:00:00,0.000447288006974083,0.09670848167240423
2017-10-20 00:00:00,0.0004543531603883181,0.09484159207755383
2017-10-23 00:00:00,0.0004227636937634402,0.10447408203129868
2017-10-24 00:00:00,0.000430847982053221,0.10719844009706381
2017-10-25 00:00:00,0.00042904577739484855,0.10715733847710567
2017-10-26 00:00:00,0.00042925020324073766,0.10595291744169845
2017-10-27 00:00:00,0.0004483361634674246,0.10381336904681679
2017-10-30 00:00:00,0.00047742049905972935,0.09549399102167982
2017-10-31 00:00:00,0.0004809829695620367,0.09496098204249655
2017-11-01 00:00:00,0.00048532821868106196,0.09480051033216984
2017-11-02 00:00:00,0.0004548041312978259,0.08972223244433628
2017-11-03 00:00:00,0.00046751983263015564,0.08846980652465461
2017-11-06 00:00:00,0.00047366465466725346,0.0891380713867474
2017-11-07 00:00:00,0.00046388549894526193,0.08814676384875857
2017-11-08 00:00:00,0.00045663867193678983,0.0879869562644209
2017-11-09 00:00:00,0.0004606287315404441,0.08814423200615086
2017-11-10 00:00:00,0.00045691462547011553,0.0864310647394701
2017-11-13 00:00:00,0.00045432765876342443,0.08623969038739357
2017-11-14 00:00:00,0.00045382742190873426,0.0874415847950407
2017-11-15 00:00:00,0.00042791316693890756,0.09101774125553432
2017-11-16 00:00:00,0.0004238556566599171,0.09086785100923297
2017-11-17 00:00:00,0.00046029419527649,0.0750771292278117
2017-11-20 00:00:00,0.0004293889880246179,0.0713446477216477
2017-11-21 00:00:00,0.000438670563455012,0.07163140908341606
2017-11-22 00:00:00,0.00044319485509699397,0.07221191316395083
2017-11-23 00:00:00,0.0004255674075527966,0.07523285907906015
2017-11-24 00:00:00,0.0004359799345893483,0.0752441061790518
2017-11-27 00:00:00,0.00045499467802610506,0.07158516574380482
2017-11-28 00:00:00,0.00045279006582915236,0.07089096266566175
2017-11-29 00:00:00,0.0004500513939016726,0.07005431131436227
2017-11-30 00:00:00,0.0004306769509013584,0.07167440370911753
2017-12-01 00:00:00,0.0004428266741072574,0.07337446678036623
2017-12-04 00:00:00,0.0004900210288749588,0.06993511864378067
2017-12-05 00:00:00,0.0004523106136689412,0.07985660047627292
2017-12-06 00:00:00,0.0004099050065739361,0.07678744510989866
2017-12-07 00:00:00,0.0003422324589224421,0.08051549700402019
2017-12-08 00:00:00,0.0003625970206364335,0.0819550007440337
2017-12-11 00:00:00,0.0003251707434322544,0.07789733775586612
2017-12-12 00:00:00,0.00038210676147098935,0.07759630485543097
2017-12-13 00:00:00,0.0004032105850923543,0.07561642935307884
2017-12-14 00:00:00,0.0004336776549105206,0.07263467110334859
2017-12-15 00:00:00,0.00039324042097091963,0.07425603120185922
2017-12-18 00:00:00,0.00040631261610686836,0.07023768220090097
2017-12-19 00:00:00,0.00041397882779694727,0.07214960649565709
2017-12-20 00:00:00,0.00042279354541813153,0.07258718894988811
2017-12-21 00:00:00,0.00036210782083122186,0.06711832416286098
2017-12-22 00:00:00,0.00039469339042916404,0.06477584964692605
2017-12-25 00:00:00,0.0003796593776362496,0.06567222467401322
2017-12-26 00:00:00,0.0003630759794703402,0.06497177950613692
2017-12-27 00:00:00,0.00039687021861630286,0.06512070649440076
2017-12-28 00:00:00,0.00038647580616232705,0.06428549737967564
2017-12-29 00:00:00,0.00038550617922909167,0.06412297481119453
2018-01-02 00:00:00,0.0003848497948373388,0.061189078064217056
2018-01-03 00:00:00,0.0003924771568370281,0.06380217526142422
2018-01-04 00:00:00,0.0004062072563278743,0.06434368969764123
