bucket,月数,策略月均收益,策略月胜率,基准月均收益,超额月均
基准跌>5%,17,-0.00646046387697215,0.47058823529411764,-0.0896294709412907,0.08316900706431855
基准跌0-5%,44,0.008072915967440563,0.7045454545454546,-0.01792272145690291,0.025995637424343476
基准涨0-5%,33,0.010659216564550876,0.6363636363636364,0.020743238797800097,-0.01008402223324922
基准涨>5%,21,0.01893544360409401,0.8571428571428571,0.09639459827362383,-0.07745915466952982
