bucket,月数,策略月均,策略胜率,沪深300月均,超额月均
沪深300跌>5%,19,-0.00083059263917011,0.5789473684210527,-0.06786289918349453,0.06703230654432443
跌0-5%,33,0.0021116905907033346,0.5151515151515151,-0.01893851842167696,0.02105020901238029
涨0-5%,45,0.0123213805538389,0.7777777777777778,0.017639343837438433,-0.005317963283599532
涨>5%,18,0.021467345816849052,0.8333333333333334,0.08761958620875786,-0.06615224039190881
