year,strat,bench,rel,win
2017,0.1181738860268897,-0.002045139958777975,0.1202190259856677,1
2018,0.01752357018754713,-0.3332010840177768,0.3507246542053239,1
2019,0.1743461635794237,0.2638218443201121,-0.08947568074068846,0
2020,0.1237356863083285,0.2087169635094139,-0.08498127720108539,0
2021,0.05699921044663192,0.1558462159441254,-0.09884700549749348,0
2022,0.0853072789115179,-0.2031320488083267,0.2884393277198446,1
2023,0.1164814533795944,-0.07421642535472095,0.1906978787343153,1
2024,0.08541126704151547,0.05461179577951203,0.03079947126200344,1
2025,0.1570635905891877,0.3038634375005458,-0.1467998469113581,0
2026,0.08881412164054314,0.006454965930263956,0.08235915571027919,1
