date,nav,dd
2017-01-03,1.0,0.0
2017-01-04,1.0010303687588675,0.0
2017-01-05,1.0002064162157913,-0.0008231044419739764
2017-01-06,0.9999368229111308,-0.0010924202520374848
2017-01-09,1.002342397827432,0.0
2017-01-10,1.0046557297155547,0.0
2017-01-11,1.005857970503508,0.0
2017-01-12,1.0071157733642937,0.0
2017-01-13,1.0045310540663033,-0.002566456971829667
2017-01-16,1.0077587273264246,0.0
2017-01-17,1.0046716368886115,-0.0030633229503287396
2017-01-18,1.0050551055205845,-0.002682806640645796
2017-01-19,1.00279346137771,-0.004927038401232542
2017-01-20,1.004968002541476,-0.002769239014533187
2017-01-23,1.00726176688598,-0.0004931343455224502
2017-01-24,1.006143449879268,-0.0016028414374953392
2017-01-25,1.0071837040424172,-0.0005705961838037288
2017-01-26,1.0165694302572312,0.0
2017-01-27,1.0165695125418261,0.0
2017-01-30,1.0165695948326885,0.0
2017-01-31,1.0165696771298187,0.0
2017-02-01,1.0165697594332173,0.0
2017-02-02,1.0165698417428852,0.0
2017-02-03,1.013625835457836,-0.002896019696985719
2017-02-06,1.015005618931544,-0.0015387263590854738
2017-02-07,1.0131149392441574,-0.003398588426353766
2017-02-08,1.014347598389818,-0.002186021325654375
2017-02-09,1.0153262062587898,-0.0012233645274811744
2017-02-10,1.0172642344843483,0.0
2017-02-13,1.0195479488540253,0.0
2017-02-14,1.019373737682129,-0.00017087099443657827
2017-02-15,1.0207700808546054,0.0
2017-02-16,1.0230013867020646,0.0
2017-02-17,1.022695538508263,-0.00029897143618495825
2017-02-20,1.0245005882325222,0.0
2017-02-21,1.025033486947119,0.0
2017-02-22,1.0300232640830438,0.0
2017-02-23,1.0311873578668271,0.0
2017-02-24,1.0327509775773172,0.0
2017-02-27,1.0305917586773528,-0.0020907449587020954
2017-02-28,1.031743568264804,-0.0009754619791079167
2017-03-01,1.0328856870352792,0.0
2017-03-02,1.0484065771650313,0.0
2017-03-03,1.0465194021744852,-0.001800041159269683
2017-03-06,1.0561400616540353,0.0
2017-03-07,1.0465291891673658,-0.009099998035883572
2017-03-08,1.0403374859633676,-0.014962575764732589
2017-03-09,1.0337411007299657,-0.021208324290805103
2017-03-10,1.0380013425560362,-0.01717453939735214
2017-03-13,1.0430319587395764,-0.012411330078635707
2017-03-14,1.0454753936131465,-0.010097778152820869
2017-03-15,1.0425969638728099,-0.012823202407468037
2017-03-16,1.0523282193887815,-0.003609220408971159
2017-03-17,1.0470001733951724,-0.008654049392415653
2017-03-20,1.0485892139206348,-0.007149475725383603
2017-03-21,1.051499366158635,-0.004394015210570146
2017-03-22,1.0408821152456296,-0.014446896734993664
2017-03-23,1.03996618729489,-0.015314137723187349
2017-03-24,1.0400176871853157,-0.015265375355111632
2017-03-27,1.0370141585593522,-0.01810924875317177
2017-03-28,1.040358557223937,-0.014942624565706386
2017-03-29,1.0402068879228996,-0.015086231750533696
2017-03-30,1.0374246001727967,-0.017720624527705287
2017-03-31,1.0395394466114443,-0.015718194627133752
2017-04-03,1.0395394467279555,-0.015718194516815776
2017-04-04,1.0395394468444756,-0.01571819440648936
2017-04-05,1.0429676623404849,-0.012472208745609947
2017-04-06,1.042681132397689,-0.012743507935176868
2017-04-07,1.0450372863813364,-0.010512597406172386
2017-04-10,1.0443011882626572,-0.011209567576517587
2017-04-11,1.0433979134045015,-0.0120648280584853
2017-04-12,1.0447617998070808,-0.010773440247247912
2017-04-13,1.0477993128813694,-0.007897388874353761
2017-04-14,1.0464874113271965,-0.009139555137906319
2017-04-17,1.0439253807443953,-0.01156539871284723
2017-04-18,1.042520634087593,-0.01289547481525588
2017-04-19,1.0334376823534595,-0.021495614194410484
2017-04-20,1.0346272159925904,-0.020369311270849177
2017-04-21,1.0335831146390746,-0.021357912490919007
2017-04-24,1.0364205902969252,-0.018671265368181644
2017-04-25,1.0459944754664263,-0.00960628855581891
2017-04-26,1.042208303225296,-0.013191203453565281
2017-04-27,1.0426770265992666,-0.012747395486242818
2017-04-28,1.044404773143849,-0.01111148884155344
2017-05-01,1.0444050180560445,-0.011111256947882953
2017-05-02,1.0387804106625573,-0.01643688334697846
2017-05-03,1.0380629924755167,-0.01711616653401815
2017-05-04,1.033510070367837,-0.021427074029137017
2017-05-05,1.036074294650878,-0.018999153362038057
2017-05-08,1.0419647508035639,-0.013421809630316917
2017-05-09,1.042581166964427,-0.012838159617175826
2017-05-10,1.0434970192085076,-0.01197099031138682
2017-05-11,1.046818219077637,-0.008826331766829676
2017-05-12,1.039718004042724,-0.01554912857447377
2017-05-15,1.043319998379664,-0.012138601441075592
2017-05-16,1.0433265669676932,-0.012132382012168708
2017-05-17,1.0389030734177065,-0.016320740839367187
2017-05-18,1.0296292176892075,-0.025101636541756567
2017-05-19,1.0308326777214865,-0.02396214749482628
2017-05-22,1.038670546516918,-0.01654090756651938
2017-05-23,1.041407697323604,-0.013949252438505977
2017-05-24,1.0393007900353557,-0.015944165201258964
2017-05-25,1.0414629249524159,-0.013896960483284149
2017-05-26,1.0452719274576279,-0.010290428884391356
2017-05-29,1.0452720173443963,-0.01029034377563387
2017-05-30,1.0452721072380116,-0.010290258660393459
2017-05-31,1.0424817537620226,-0.01293228842263805
2017-06-01,1.0415093561829665,-0.013852997345972895
2017-06-02,1.0503028080437593,-0.005526969217637845
2017-06-05,1.0562699109184126,0.0
2017-06-06,1.0507821039894418,-0.005195458918449414
2017-06-07,1.0472165294344093,-0.008571087172341674
2017-06-08,1.0465041707789953,-0.009245496854990654
2017-06-09,1.0461099895386994,-0.009618679160215193
2017-06-12,1.0430061375515707,-0.01255718186207655
2017-06-13,1.041219501724169,-0.014248639517864925
2017-06-14,1.042859256843432,-0.012696237899383234
2017-06-15,1.0376682422727292,-0.017610715266431765
2017-06-16,1.0365755936571057,-0.018645155994439944
2017-06-19,1.0401744459391742,-0.015238022794044848
2017-06-20,1.0436365768431333,-0.011960327511644109
2017-06-21,1.0428746177679924,-0.012681695286362205
2017-06-22,1.0430111439174579,-0.012552442196736013
2017-06-23,1.0437125406378407,-0.01188841048179956
2017-06-26,1.0469451539737522,-0.008828005842325681
2017-06-27,1.0487961019642469,-0.007075662079276235
2017-06-28,1.046437893449821,-0.009308243439447028
2017-06-29,1.0460559208272726,-0.009669867507878793
2017-06-30,1.0453829503549121,-0.010306987305957138
2017-07-03,1.0460594913117045,-0.009666487231308585
2017-07-04,1.045889928355026,-0.009827017181963993
2017-07-05,1.049778883228693,-0.006145235817686001
2017-07-06,1.0581956155042782,0.0
2017-07-07,1.063570867592718,0.0
2017-07-10,1.05853068385026,-0.004738926098893481
2017-07-11,1.0544721530341614,-0.008554873808409802
2017-07-12,1.0532854613170577,-0.009670635581567
2017-07-13,1.0623449531770357,-0.0011526400854292573
2017-07-14,1.060828254039647,-0.002578684351592586
2017-07-17,1.0592222287253086,-0.004088715665230724
2017-07-18,1.0702578527672804,0.0
2017-07-19,1.0782393164581316,0.0
2017-07-20,1.0768469922718982,-0.00129129420990437
2017-07-21,1.0777192842341157,-0.00048229759022710983
2017-07-24,1.081348156952491,0.0
2017-07-25,1.0720247617548297,-0.008622010531683655
2017-07-26,1.076491841575667,-0.004490982248039566
2017-07-27,1.0716977356870183,-0.008924434931918745
2017-07-28,1.075152537985041,-0.005729532091598322
2017-07-31,1.080042050085113,-0.00120785045868943
2017-08-01,1.0771053209349888,-0.0039236539963777295
2017-08-02,1.0807942976247331,-0.0005121933432788994
2017-08-03,1.0824163483251013,0.0
2017-08-04,1.083087071474531,0.0
2017-08-07,1.0841832147305546,0.0
2017-08-08,1.083888378247263,-0.0002719434125945108
2017-08-09,1.0816119547054448,-0.002371610250163081
2017-08-10,1.0819705088926739,-0.002040896601069875
2017-08-11,1.0776862609953655,-0.005992486921874929
2017-08-14,1.0797248586431216,-0.004112179589997655
2017-08-15,1.0826201380306788,-0.0014417090014294809
2017-08-16,1.0797862626578296,-0.004055543392467831
2017-08-17,1.0818489384330363,-0.002153027519521622
2017-08-18,1.0785153853321596,-0.005227741327653357
2017-08-21,1.076319572900451,-0.00725305623926098
2017-08-22,1.0740770433360947,-0.009321460853801922
2017-08-23,1.0744043222969453,-0.009019594013950472
2017-08-24,1.075333948092195,-0.008162150564707704
2017-08-25,1.0754571290757267,-0.008048534174176947
2017-08-28,1.0770948750580858,-0.006537953711292732
2017-08-29,1.0763447072989158,-0.00722987344310333
2017-08-30,1.074841293351867,-0.008616552305699798
2017-08-31,1.077280375246945,-0.0063668569941151
2017-09-01,1.0878954098331268,0.0
2017-09-04,1.089206631891943,0.0
2017-09-05,1.087322339866411,-0.0017299674555406597
2017-09-06,1.0882692293338503,-0.0008606287646856225
2017-09-07,1.0861156431214902,-0.002837835062649008
2017-09-08,1.0865353941825027,-0.002452461848125531
2017-09-11,1.0875665293792365,-0.0015057772002889935
2017-09-12,1.089867392493775,0.0
2017-09-13,1.0914254578980667,0.0
2017-09-14,1.0905867736975,-0.0007684301245657332
2017-09-15,1.0887403142018637,-0.0024602172111454212
2017-09-18,1.0871204293026353,-0.003944409180011599
2017-09-19,1.0841952212419126,-0.006624581279310204
2017-09-20,1.0848254358740013,-0.0060471578487606426
2017-09-21,1.0845571013496085,-0.006293014789746421
2017-09-22,1.0853147790110482,-0.005598805527944006
2017-09-25,1.0851927599465003,-0.005710603419100901
2017-09-26,1.0806368270302236,-0.00988489941275561
2017-09-27,1.0832057251923857,-0.007531190193704185
2017-09-28,1.0869694685299307,-0.004082724418686068
2017-09-29,1.0910382551177829,-0.000354767957336799
2017-10-02,1.091038404975156,-0.00035463065306917674
2017-10-03,1.091038554843944,-0.0003544933383429205
2017-10-04,1.0910387047241465,-0.00035435601315814136
2017-10-05,1.0910388546157654,-0.000354218677513618
2017-10-06,1.0910390045188005,-0.0003540813314089064
2017-10-09,1.09819843968624,0.0
2017-10-10,1.0990990352263843,0.0
2017-10-11,1.1014834629457046,0.0
2017-10-12,1.102978066489554,0.0
2017-10-13,1.101052125393751,-0.0017461281908648374
2017-10-16,1.1022610037545129,-0.0006501151354020296
2017-10-17,1.1047049224837402,0.0
2017-10-18,1.1026789396566303,-0.001833958359264587
2017-10-19,1.1045404290129923,-0.00014890263218703126
2017-10-20,1.1056107110820124,0.0
2017-10-23,1.1066626129256991,0.0
2017-10-24,1.1041866770156024,-0.002237299680298399
2017-10-25,1.105272716503097,-0.0012559351028653687
2017-10-26,1.1036039588373434,-0.0027638541797934124
2017-10-27,1.1077679178011304,0.0
2017-10-30,1.1131709737825,0.0
2017-10-31,1.1135968734962007,0.0
2017-11-01,1.1153417047878773,0.0
2017-11-02,1.1167984271638132,0.0
2017-11-03,1.1186878299589202,0.0
2017-11-06,1.1213975472675957,0.0
2017-11-07,1.1197657616450445,-0.0014551357157212008
2017-11-08,1.1182789593787688,-0.0027809833331859934
2017-11-09,1.1199280828062377,-0.0013103867267576508
2017-11-10,1.1164180731946494,-0.0044404181952057975
2017-11-13,1.1169697842073076,-0.003948432980860894
2017-11-14,1.1140949164612228,-0.006512080237883855
2017-11-15,1.1081725120677888,-0.011793351280311781
2017-11-16,1.1080192872608083,-0.011929988646207423
2017-11-17,1.1148891429706287,-0.005803833183713691
2017-11-20,1.1109327862094835,-0.009331892230021954
2017-11-21,1.113032244611993,-0.007459711924629797
2017-11-22,1.1161637097920127,-0.004667245338939474
2017-11-23,1.1119790428251932,-0.008398898736092009
2017-11-24,1.1146957044760717,-0.005976330880920644
2017-11-27,1.1188401367799734,-0.0022805565197228095
2017-11-28,1.1196737080782533,-0.0015372239698068224
2017-11-29,1.1242750469393858,0.0
2017-11-30,1.1204625741248804,-0.003391049925802636
2017-12-01,1.1255054461994767,0.0
2017-12-04,1.1340117203641362,0.0
2017-12-05,1.1240745301470627,-0.008762863768182805
2017-12-06,1.1162676441252455,-0.01564717182393227
2017-12-07,1.1176913626644702,-0.014391701079090713
2017-12-08,1.120920502498792,-0.011544164518106026
2017-12-11,1.1232697844220678,-0.009472508748515573
2017-12-12,1.1250352774488208,-0.007915652681643293
2017-12-13,1.1241528265971084,-0.008693819993202623
2017-12-14,1.124771545990998,-0.008148217701110738
2017-12-15,1.1195293239082786,-0.012770940719384338
2017-12-18,1.1268093644251995,-0.0063512182542734275
2017-12-19,1.1319438753487563,-0.0018234776398219354
2017-12-20,1.1302205670649879,-0.0033431341414451587
2017-12-21,1.1270844124084565,-0.006108674038620476
2017-12-22,1.1295469844349142,-0.0039371162123337244
2017-12-25,1.1269824567012598,-0.006198581140430481
2017-12-26,1.1266148063224783,-0.006522784472882459
2017-12-27,1.122475032214839,-0.010173341194033458
2017-12-28,1.1194197378046562,-0.012867576496294442
2017-12-29,1.1194243035131668,-0.012863550339925367
2018-01-02,1.117378579110027,-0.01466752146862127
2018-01-03,1.1234503703207925,-0.009313263570108754
2018-01-04,1.1269001078495087,-0.006271198424954494
2018-01-05,1.1268410130481556,-0.006323309704134306
2018-01-08,1.131928712710676,-0.0018368484346804603
2018-01-09,1.132648067551904,-0.001202503279061573
2018-01-10,1.1345894293974008,0.0
2018-01-11,1.1326575317409904,-0.0017027284111367225
2018-01-12,1.1387988718393038,0.0
2018-01-15,1.137755132583697,-0.0009165264221951963
2018-01-16,1.1419902991808544,0.0
2018-01-17,1.1374256030803103,-0.003997140872228466
2018-01-18,1.1359454762105854,-0.00529323495532763
2018-01-19,1.134732279917606,-0.006355587493566794
2018-01-22,1.1344610022754364,-0.0065931356079108605
2018-01-23,1.1406049486666143,-0.0012131018233988433
2018-01-24,1.1431403744844986,0.0
2018-01-25,1.1463416083325657,0.0
2018-01-26,1.1456365943405211,-0.0006150121280777965
2018-01-29,1.1487133276399868,0.0
2018-01-30,1.1446966128564569,-0.0034967077397650703
2018-01-31,1.1417679930744309,-0.006046186109658014
2018-02-01,1.1417282632440882,-0.006080772485028474
2018-02-02,1.1389481178278582,-0.00850099809688043
2018-02-05,1.1240988632038016,-0.021427856579983473
2018-02-06,1.0996989480252748,-0.042668939617346746
2018-02-07,1.1075013100898818,-0.035876677460314976
2018-02-08,1.109642100783995,-0.03401303520719401
2018-02-09,1.0971757534455193,-0.044865479449386014
2018-02-12,1.1066059112136128,-0.03665615729634053
2018-02-13,1.1126218751731858,-0.0314190247456696
2018-02-14,1.1183500580888663,-0.026432416879415332
2018-02-15,1.118350059345542,-0.026432415785429875
2018-02-16,1.1183500606023133,-0.02643241469136104
2018-02-20,1.1183500618591804,-0.026432413597209048
2018-02-21,1.1183500631161432,-0.02643241250297368
2018-02-22,1.1216389501189246,-0.02356930738906471
2018-02-23,1.1257932157656247,-0.01995285622867382
2018-02-26,1.1367260728234003,-0.010435375413650139
2018-02-27,1.1408023924031048,-0.006886779361335416
2018-02-28,1.1343213958670972,-0.012528741006651023
2018-03-01,1.1318901250491176,-0.014645257599154249
2018-03-02,1.1258380461221404,-0.019913829645245906
2018-03-05,1.1286515300916806,-0.01746458151532282
2018-03-06,1.1343130023164527,-0.012536047921650972
2018-03-07,1.132729076298544,-0.013914917635962532
2018-03-08,1.1356266940899238,-0.011392427714710496
2018-03-09,1.1374816108183121,-0.009777649959672785
2018-03-12,1.1464309086434845,-0.0019869352444890076
2018-03-13,1.1450598068358433,-0.0031805331375841517
2018-03-14,1.1409997988135623,-0.0067149293394827
2018-03-15,1.1406113843716184,-0.007053059343373191
2018-03-16,1.1385633546519036,-0.008835949530538012
2018-03-19,1.1372825185444777,-0.009950967591708437
2018-03-20,1.132131458969379,-0.014435166957342593
2018-03-21,1.1331196013384488,-0.013574950273777309
2018-03-22,1.135895578594849,-0.011158353208516991
2018-03-23,1.1246421706111005,-0.02095488617542207
2018-03-26,1.1211121296630047,-0.024027925255893368
2018-03-27,1.1318924436585096,-0.014643239158751209
2018-03-28,1.118190759327248,-0.026571092698512544
2018-03-29,1.1148303774351174,-0.029496436917365143
2018-03-30,1.1169601181252078,-0.027642414126086257
2018-04-02,1.1156192631107835,-0.028809680999518528
2018-04-03,1.1088735387727224,-0.034682098578167175
2018-04-04,1.1098265570860273,-0.033852458762580695
2018-04-05,1.1098267485888713,-0.03385229205184492
2018-04-06,1.1098269401063017,-0.0338521253284112
2018-04-09,1.1120492412755552,-0.03191752501014111
2018-04-10,1.1193411813390441,-0.02556960522194629
2018-04-11,1.1195693660292498,-0.025370961500562395
2018-04-12,1.1196093531685691,-0.025336151127637208
2018-04-13,1.1205068101180822,-0.024554879658142847
2018-04-16,1.1183455884681626,-0.026436307859520003
2018-04-17,1.1114626816099151,-0.03242814820178197
2018-04-18,1.1177989132726243,-0.02691221005581601
2018-04-19,1.1238011103132157,-0.021687062148005976
2018-04-20,1.1183347727909587,-0.02644572333067674
2018-04-23,1.1127949401740163,-0.03126836487547713
2018-04-24,1.1169894339789763,-0.027616893525721387
2018-04-25,1.111925428370901,-0.03202530899912681
2018-04-26,1.105707335823283,-0.03743840241242691
2018-04-27,1.1106199675480652,-0.03316176384075198
2018-04-30,1.1106200423623345,-0.0331616987119967
2018-05-01,1.1106201171823018,-0.033161633578280836
2018-05-02,1.1095797893591202,-0.034067279746171186
2018-05-03,1.11071465327071,-0.033079336205965815
2018-05-04,1.1107440623746896,-0.03305373442763526
2018-05-07,1.1147716134823393,-0.029547593242763348
2018-05-08,1.115064555969331,-0.029292575319715852
2018-05-09,1.1135540379635571,-0.030607540480673157
2018-05-10,1.1165659531042804,-0.027985550234498224
2018-05-11,1.1180214226724372,-0.026718506897282723
2018-05-14,1.1192051997608046,-0.025687982518498576
2018-05-15,1.1146106697704135,-0.029687701055612137
2018-05-16,1.1090894803420135,-0.03449411297366933
2018-05-17,1.1101548287054666,-0.03356668544425956
2018-05-18,1.1101916712173037,-0.03353461259287838
2018-05-21,1.1152907833855208,-0.02909563548212002
2018-05-22,1.1147221115432977,-0.029590686621982165
2018-05-23,1.1124575784011794,-0.03156205152881286
2018-05-24,1.1178450231670765,-0.026872069584435665
2018-05-25,1.1202488121430059,-0.0247794770131734
2018-05-28,1.1207204378654239,-0.024368908326391492
2018-05-29,1.1194171910309256,-0.025503435804344443
