code,start,end,期数
513080.SH,2026-03-04,2026-03-19,1
513080.SH,2026-06-10,2026-07-13,1
513100.SH,2017-01-03,2017-03-28,1
513100.SH,2017-05-02,2017-06-20,1
513100.SH,2017-08-04,2017-08-21,1
513100.SH,2017-09-05,2018-01-15,1
513100.SH,2018-01-30,2018-04-11,1
513100.SH,2018-05-15,2018-08-01,1
513100.SH,2018-08-16,2018-11-09,1
513100.SH,2019-01-29,2019-05-14,1
513100.SH,2019-07-16,2019-08-15,1
513100.SH,2019-10-09,2019-10-24,1
513100.SH,2019-11-08,2020-03-05,1
513100.SH,2020-05-12,2020-05-27,1
513100.SH,2020-08-31,2020-09-15,1
513100.SH,2021-02-10,2021-03-04,1
513100.SH,2021-04-06,2021-05-11,1
513100.SH,2021-06-10,2021-08-12,1
513100.SH,2021-11-08,2021-12-08,1
513100.SH,2022-04-06,2022-04-21,1
513100.SH,2022-07-13,2022-08-29,1
513100.SH,2023-04-03,2023-04-19,1
513100.SH,2023-05-24,2023-07-12,1
513100.SH,2024-01-23,2024-03-01,1
513100.SH,2024-05-24,2024-07-26,1
513100.SH,2024-10-22,2025-01-23,1
513100.SH,2025-05-26,2025-07-28,1
513100.SH,2025-09-26,2025-10-21,1
513100.SH,2025-11-05,2025-11-20,1
513100.SH,2026-03-19,2026-06-10,1
513500.SH,2017-02-09,2017-03-13,1
513500.SH,2017-05-17,2017-06-05,1
513500.SH,2017-06-20,2017-09-05,1
513500.SH,2017-09-20,2018-04-11,1
513500.SH,2018-04-26,2018-11-26,1
513500.SH,2019-01-29,2019-06-14,1
513500.SH,2019-07-01,2019-09-17,1
513500.SH,2019-10-09,2019-12-25,1
513500.SH,2020-02-04,2020-02-19,1
513500.SH,2020-06-11,2020-06-30,1
513500.SH,2020-07-30,2020-09-15,1
513500.SH,2020-12-09,2021-01-11,1
513500.SH,2021-01-26,2021-05-11,1
513500.SH,2021-06-28,2021-09-30,1
513500.SH,2021-10-22,2021-12-08,1
513500.SH,2022-03-18,2022-05-11,1
513500.SH,2022-07-13,2022-07-28,1
513500.SH,2022-08-12,2022-09-14,1
513500.SH,2023-02-15,2023-03-17,1
513500.SH,2023-05-24,2023-07-12,1
513500.SH,2023-10-20,2023-11-21,1
513500.SH,2023-12-06,2024-03-18,1
513500.SH,2024-04-02,2024-04-19,1
513500.SH,2024-05-24,2024-07-26,1
513500.SH,2024-11-06,2024-12-23,1
513500.SH,2025-05-26,2025-08-27,1
513500.SH,2025-09-11,2025-10-21,1
513500.SH,2025-12-05,2026-01-08,1
513500.SH,2026-03-19,2026-04-03,1
513500.SH,2026-05-11,2026-06-26,1
513880.SH,2019-08-15,2020-01-10,1
513880.SH,2020-02-19,2020-03-05,1
513880.SH,2020-04-22,2020-05-12,1
513880.SH,2020-05-27,2020-06-30,1
513880.SH,2020-07-30,2020-08-14,1
513880.SH,2020-09-15,2021-01-11,1
513880.SH,2021-01-26,2021-03-04,1
513880.SH,2021-09-30,2021-10-22,1
513880.SH,2021-11-23,2021-12-08,1
513880.SH,2022-05-26,2022-06-13,1
513880.SH,2022-07-28,2022-08-12,1
513880.SH,2022-11-22,2022-12-07,1
513880.SH,2023-02-15,2023-03-02,1
513880.SH,2023-03-17,2023-04-03,1
513880.SH,2023-05-24,2023-06-27,1
513880.SH,2024-01-08,2024-02-07,1
513880.SH,2024-06-26,2024-07-26,1
513880.SH,2024-10-22,2024-11-06,1
513880.SH,2025-01-08,2025-01-23,1
513880.SH,2025-05-26,2025-06-11,1
513880.SH,2025-10-21,2025-11-20,1
513880.SH,2026-02-09,2026-03-19,1
513880.SH,2026-04-21,2026-05-26,1
513880.SH,2026-06-10,2026-07-13,1
518880.SH,2017-01-03,2017-03-13,1
518880.SH,2017-03-28,2017-05-17,1
518880.SH,2017-06-05,2017-07-20,1
518880.SH,2017-08-04,2017-09-20,1
518880.SH,2017-11-28,2017-12-13,1
518880.SH,2018-01-15,2019-01-29,1
518880.SH,2019-02-20,2019-03-07,1
518880.SH,2019-05-14,2019-07-16,1
518880.SH,2019-07-31,2019-09-17,1
518880.SH,2019-12-10,2019-12-25,1
518880.SH,2020-02-04,2020-06-11,1
518880.SH,2020-06-30,2020-08-14,1
518880.SH,2021-01-11,2021-01-26,1
518880.SH,2021-05-11,2021-06-10,1
518880.SH,2021-09-13,2021-09-30,1
518880.SH,2021-10-22,2021-11-23,1
518880.SH,2021-12-23,2022-06-13,1
518880.SH,2022-06-28,2022-07-13,1
518880.SH,2022-08-29,2023-02-15,1
518880.SH,2023-03-17,2023-04-19,1
518880.SH,2023-05-09,2023-05-24,1
518880.SH,2023-07-12,2023-08-11,1
518880.SH,2023-08-28,2023-11-21,1
518880.SH,2024-01-08,2024-01-23,1
518880.SH,2024-02-07,2024-05-24,1
518880.SH,2024-07-26,2024-11-21,1
518880.SH,2025-01-08,2025-05-26,1
518880.SH,2025-08-27,2025-11-05,1
518880.SH,2025-12-05,2026-01-08,1
