date,100%策略,100%纳指100,50%策略+50%纳指100
2017,0.11959272795397657,0.3151562005255337,0.2155256535944159
2018,0.024923708449668514,-0.010390187010857255,0.014040659737084793
2019,0.15670123594493113,0.3796406296406296,0.26786405530650126
2020,0.14945154271962502,0.47580175127418056,0.3258561180948909
2021,0.0452157618407345,0.2662729239277877,0.15587693704035321
2022,0.07595015836737895,-0.329674854535027,-0.138293484255391
2023,0.10317228629858755,0.538052937175953,0.30865546667180266
2024,0.06835934482280903,0.2487969461420556,0.15986014872609067
2025,0.15361898562763132,0.20167740885401164,0.1862224323509598
2026,0.05053414892322361,0.11213105039489135,0.08409188963801517
