risk_bucket,期数,下期策略均值,下期基准均值,下期超额均值
40-60%,104,0.0035254899985600755,-0.0006611116119645031,0.004186601610524579
60-100%,105,0.005279114514595541,0.006713558594715944,-0.0014344440801204023
