date,100%策略,100%纳指100,50%策略+50%纳指100
2017-01-03,0.0,0.0,0.0
2017-01-04,0.0,0.0,0.0
2017-01-05,-0.0008231044419739764,0.0,0.0
2017-01-06,-0.0010924202520374848,0.0,0.0
2017-01-09,0.0,0.0,0.0
2017-01-10,0.0,0.0,0.0
2017-01-11,0.0,0.0,0.0
2017-01-12,0.0,-0.0017385415655982728,-0.0002440319828540538
2017-01-13,-0.002566456971829667,0.0,0.0
2017-01-17,-0.005621918035615514,-0.0029370433105184723,-0.003000183130423384
2017-01-18,-0.00524237830466856,-0.0007233902097240064,-0.0017031564660953125
2017-01-19,-0.007480850341006984,-0.0016483809696988816,-0.0032884164990865106
2017-01-20,-0.005328588853587446,0.0,-0.0010208428156855964
2017-01-23,-0.003058325709273002,0.0,0.0
2017-01-24,-0.004165184785743126,0.0,0.0
2017-01-25,-0.003135588745079354,0.0,0.0
2017-01-26,0.0,0.0,0.0
2017-01-27,0.0,0.0,0.0
2017-01-30,0.0,-0.007494108040541292,-0.003747013545486899
2017-01-31,0.0,-0.009924420382116272,-0.004966717075691962
2017-02-01,0.0,-0.002974036679140979,-0.0014740832726812814
2017-02-02,0.0,-0.003939582744782455,-0.001957542178244953
2017-02-03,-0.00289601969698583,-0.001249985487784544,-0.0020552428701753334
2017-02-06,-0.0015387263590855849,-1.934962055383238e-05,-0.0007612021294149951
2017-02-07,-0.003398588426353877,0.0,0.0
2017-02-08,-0.002186021325654486,0.0,0.0
2017-02-09,-0.0012233645274811744,0.0,0.0
2017-02-10,0.0,0.0,0.0
2017-02-13,0.0,0.0,0.0
2017-02-14,-0.00017087099443646725,0.0,0.0
2017-02-15,0.0,0.0,0.0
2017-02-16,0.0,-0.00033003984995449986,0.0
2017-02-17,-0.00029897143618495825,0.0,0.0
2017-02-21,0.0,0.0,0.0
2017-02-22,0.0,0.0,0.0
2017-02-23,0.0,-0.0036919880496176782,-0.0012809127182134006
2017-02-24,0.0,-0.0016479420342928597,0.0
2017-02-27,-0.0020907449587022064,-0.000855734072229164,-0.0006486146644384405
2017-02-28,-0.0009754619791079167,-0.0040768815406203585,-0.0017010748990481384
2017-03-01,0.0,0.0,0.0
2017-03-02,0.0,-0.005143767656775378,0.0
2017-03-03,-0.001800041159269794,-0.003248011960697239,0.0
2017-03-06,0.0,-0.00569097698196408,0.0
2017-03-07,-0.009099998035883572,-0.007365994001101717,-0.005392301048981141
2017-03-08,-0.014962575764732589,-0.005783724325216344,-0.007541850172125941
2017-03-09,-0.021208324290805103,-0.005010211482492033,-0.01030217793843946
2017-03-10,-0.01717453939735203,-0.0009441679543087389,-0.006240603443423032
2017-03-13,-0.012411330078635707,0.0,-0.003032646951534934
2017-03-14,-0.010097778152820647,-0.002298607674012798,-0.0030107040144942143
2017-03-15,-0.012823202407467926,0.0,-0.0012266949669048621
2017-03-16,-0.003609220408971048,-0.0007699053773366771,0.0
2017-03-17,-0.008654049392415541,-0.0013828756058157365,-0.002838272679356546
2017-03-20,-0.007149475725383492,-0.0005428109854602736,-0.0016621523706157326
2017-03-21,-0.004394015210570035,-0.015457189014539519,-0.007725644963050504
2017-03-22,-0.014446896734993553,-0.008989614585737105,-0.009476083664321289
2017-03-23,-0.015314137723187238,-0.011282714054927201,-0.011057878114875908
2017-03-24,-0.015265375355111632,-0.009646895915070286,-0.010215296480486358
2017-03-27,-0.01810924875317177,-0.007750750057696654,-0.010696996596046393
2017-03-28,-0.014942624565706386,-0.0016690514654973398,-0.006069911923338167
2017-03-29,-0.015086231750533807,0.0,-0.0040229672582929865
2017-03-30,-0.017720624527705287,0.0,-0.004486503223828375
2017-03-31,-0.015718194627133752,-0.0006452514274579713,-0.003792977288144872
2017-04-03,-0.015718194516815776,-0.0013860956589836215,-0.004162232607966443
2017-04-04,-0.01571819440648925,0.0,-0.003409698765633795
2017-04-05,-0.012472208745609947,-0.004023593810025372,-0.0037713476082524844
2017-04-06,-0.012743507935176757,-0.0035898029744082516,-0.0036912420279142655
2017-04-07,-0.010512597406172275,-0.00405116526144178,-0.002796216687665165
2017-04-10,-0.011209567576517365,-0.003442755233521,-0.002842831057119355
2017-04-11,-0.012064828058484967,-0.007721844493337904,-0.00541491235742253
2017-04-12,-0.010773440247247468,-0.011649857271786579,-0.006733444682343714
2017-04-13,-0.007897388874353428,-0.01595835607978091,-0.007454511530266106
2017-04-17,-0.010326273544602027,-0.007574796752450763,-0.004441492008840364
2017-04-18,-0.01165801706210523,-0.008960721710312258,-0.005806473477184215
2017-04-19,-0.02026893778090677,-0.007493920494962669,-0.009401689745496489
2017-04-20,-0.019141222897163468,0.0,-0.004805628092910852
2017-04-21,-0.020131063451278797,-0.0002718823998398845,-0.005443069720350802
2017-04-24,-0.017441048283691973,0.0,0.0
2017-04-25,-0.008364707400400073,0.0,0.0
2017-04-26,-0.011954116432882356,-0.001279696621781179,-0.002449691636994933
2017-04-27,-0.011509752097317083,0.0,0.0
2017-04-28,-0.009871794641078235,0.0,0.0
2017-05-01,-0.0098715624567004,0.0,0.0
2017-05-02,-0.015203865187947141,0.0,-0.0014102329304678252
2017-05-03,-0.015883999940575766,-0.0033504191124489324,-0.0034279106104507795
2017-05-04,-0.020200311692049056,-0.0031448936671586436,-0.00551062782439371
2017-05-05,-0.017769347325750307,0.0,-0.0025296831741163928
2017-05-08,-0.012185011703032211,0.0,0.0
2017-05-09,-0.011600630012327584,0.0,0.0
2017-05-10,-0.010732373602434286,0.0,0.0
2017-05-11,-0.007583772838996028,-0.0013129919319637695,0.0
2017-05-12,-0.01431499750490639,0.0,-0.0022819278368431117
2017-05-15,-0.01090019485342919,0.0,0.0
2017-05-16,-0.010893967627697898,0.0,0.0
2017-05-17,-0.015087577081321024,-0.025136083180188673,-0.014687940426200363
2017-05-18,-0.02387948072379098,-0.017142288153950358,-0.015045941521566242
2017-05-19,-0.022738563186239902,-0.012731376344236267,-0.012260160363461892
