datetime,159985.SZ,510170.SH,511010.SH,511220.SH,511380.SH,513030.SH,513100.SH,513500.SH,513880.SH,518880.SH
2017-01-03,0.0,0.0,0.199999717619377,0.1999997512270608,0.0,0.2000006201786504,0.2000000158258655,0.0,0.0,0.1999997946914215
2017-01-18,0.0,0.0,0.1999998198813446,0.199999809200683,0.0,0.1999998540593886,0.1999998735145402,0.0,0.0,0.1999997938305271
2017-02-09,0.0,0.0,0.200000198536981,0.1999983766759103,0.0,0.0,0.2000001240497032,0.200000327301085,0.0,0.2000002520599008
2017-02-24,0.0,0.1999998993674421,0.1999998986963465,0.0,0.0,0.0,0.1999998939032406,0.1999998982816445,0.0,0.2000005642393398
2017-03-13,0.0,0.2000011340679791,0.1999998286505446,0.1999998283754417,0.0,0.1999998257440918,0.1999998324575419,0.0,0.0,0.0
2017-03-28,0.0,0.1999914360850997,0.2000004464450922,0.2000000894402707,0.0,0.1999996824635629,0.0,0.0,0.0,0.2000014718143769
2017-04-14,0.0,0.199999763389176,0.2000000207036452,0.2000000200434957,0.0,0.2000000331878372,0.0,0.0,0.0,0.20000000921259
2017-05-02,0.0,0.0,0.2000045548047237,0.2000010245853336,0.0,0.2000014233951463,0.1999959878589765,0.0,0.0,0.1999991387796008
2017-05-17,0.0,0.0,0.1999996070570616,0.2000010130215551,0.0,0.2000002694312328,0.2000002053829858,0.1999997944877479,0.0,0.0
2017-06-05,0.0,0.0,0.2000001992957964,0.1999999780466996,0.0,0.2000000624157908,0.2000002990174329,0.0,0.0,0.1999997759698129
2017-06-20,0.0,0.2000015149354633,0.2000008606067767,0.2000006231343829,0.0,0.0,0.0,0.2000014305577624,0.0,0.1999911873742972
2017-07-05,0.0,0.1999999906164615,0.1999999916225428,0.1999999930882314,0.0,0.0,0.0,0.1999999889090797,0.0,0.2000000628355905
2017-07-20,0.0,0.2000007896000372,0.2000005888741551,0.2000005895478015,0.0,0.1999955641240305,0.0,0.200000832751401,0.0,0.0
2017-08-04,0.0,0.0,0.2000000082768313,0.2000000125222239,0.0,0.0,0.1999999164438869,0.200000012126633,0.0,0.2000000142137896
2017-08-21,0.0,0.2000002814514925,0.2000001684050983,0.2000001946469199,0.0,0.0,0.0,0.1999985946616323,0.0,0.2000001841359087
2017-09-05,0.0,0.2000011959517601,0.1999997900109561,0.1999997701576609,0.0,0.0,0.2000007846509388,0.0,0.0,0.2000002080903069
2017-09-20,0.0,0.0,0.2000002572870487,0.2000001804839229,0.0,0.2000004514955284,0.1999944926942437,0.2000006288708959,0.0,0.0
2017-10-12,0.0,0.0,0.2000000318379896,0.1999999901473982,0.0,0.1999998735527028,0.2000000880805335,0.1999998282100903,0.0,0.0
2017-10-27,0.0,0.0,0.1999998122853684,0.1999998806361772,0.0,0.1999998722506984,0.199999866291759,0.2000000511191753,0.0,0.0
2017-11-13,0.0,0.0,0.2000000593534406,0.1999998263429698,0.0,0.2000000624130881,0.2000000687631284,0.2000000600292844,0.0,0.0
2017-11-28,0.0,0.0,0.1999999175591308,0.1999998326535233,0.0,0.0,0.2000002275367241,0.1999998424743773,0.0,0.1999999958533175
2017-12-13,0.0,0.0,0.1999995714367185,0.1999998262974728,0.0,0.1999989097343742,0.2000042532465396,0.1999993562640942,0.0,0.0
2017-12-28,0.0,0.0,0.2000004429290018,0.2000004525785967,0.0,0.2000004093528975,0.199998295810005,0.2000004377152061,0.0,0.0
2018-01-15,0.0,0.2000013502771649,0.1999998210205311,0.1999997789086274,0.0,0.0,0.0,0.1999999806938904,0.0,0.1999999063543499
2018-01-30,0.0,0.0,0.1999997402788641,0.1999997702972411,0.0,0.0,0.1999997092806061,0.1999996641575631,0.0,0.2000046400899667
2018-02-14,0.0,0.0,0.2000001539592259,0.2000001532089572,0.0,0.0,0.1999961878503859,0.2000036514101945,0.0,0.2000001357117062
2018-03-08,0.0,0.0,0.2000000074901549,0.2000000076067747,0.0,0.0,0.2000000043770249,0.1999999465733968,0.0,0.2000000097014414
2018-03-23,0.0,0.0,0.2000005221446492,0.200000439684444,0.0,0.0,0.2000007092169394,0.1999957371798888,0.0,0.2000008395952029
2018-04-11,0.0,0.2000007088513789,0.199999965039834,0.1999999761837071,0.0,0.1999998909197039,0.0,0.0,0.0,0.1999999328292981
2018-04-26,0.0,0.0,0.20000003666868,0.2000000302097532,0.0,0.1999999956749362,0.0,0.19999996881969,0.0,0.1999999799894477
2018-05-15,0.0,0.0,0.2000000600952066,0.1999999694115848,0.0,0.0,0.1999999395090103,0.2000000264769499,0.0,0.2000000741719193
2018-05-30,0.0,0.0,0.2000008076481841,0.2000013983478823,0.0,0.0,0.2000002107172495,0.2000005479960066,0.0,0.1999926692628172
2018-06-14,0.0,0.0,0.200000815931299,0.1999997014426136,0.0,0.0,0.2000034530794531,0.2000004815629164,0.0,0.1999975021125505
2018-07-02,0.0,0.0,0.2000000850428051,0.2000011153310592,0.0,0.0,0.1999998099078808,0.2000000618385835,0.0,0.1999997703379667
2018-07-17,0.0,0.0,0.2000001741576548,0.1999996878023997,0.0,0.0,0.2000000190881849,0.2000002075058182,0.0,0.1999999068535513
2018-08-01,0.0,0.0,0.1999998156422805,0.199999785792167,0.0,0.199999811889935,0.0,0.2000029164035112,0.0,0.1999996650435068
2018-08-16,0.0,0.0,0.2000000160457766,0.2000000453412985,0.0,0.0,0.1999999683339215,0.2000000024001142,0.0,0.1999999572511802
2018-08-31,0.0,0.0,0.2000000249952842,0.2000000586121751,0.0,0.0,0.1999999610298833,0.2000000162238663,0.0,0.1999999483167694
2018-09-17,0.0,0.0,0.2000001039833025,0.2000003171288232,0.0,0.0,0.1999996875988426,0.2000003320966454,0.0,0.2000003659604267
2018-10-10,0.0,0.0,0.2000000055685756,0.2000000037708459,0.0,0.0,0.1999999429500636,0.2000000081302437,0.0,0.2000000076609067
2018-10-25,0.0,0.0,0.2000000367840514,0.2000000478098988,0.0,0.0,0.1999994516007185,0.2000002726272374,0.0,0.1999999957555224
2018-11-09,0.0,0.0,0.200000022317632,0.2000000140967987,0.0,0.2000007528831245,0.0,0.1999982121732769,0.0,0.2000000367837808
2018-11-26,0.0,0.2000003477699501,0.2000004915722735,0.2000006968413731,0.0,0.1999984082599458,0.0,0.0,0.0,0.2000000320844014
2018-12-11,0.0,0.2000000269782826,0.2000000151990575,0.2000000133582562,0.0,0.1999998410772623,0.0,0.0,0.0,0.200000014696746
2018-12-26,0.0,0.1999981159603601,0.1999989043140718,0.1999988121759634,0.0,0.2000128559637264,0.0,0.0,0.0,0.1999991696934677
2019-01-14,0.0,0.2000000563965522,0.1999999925166375,0.199999992985427,0.0,0.1999999888614014,0.0,0.0,0.0,0.1999999923394778
2019-01-29,0.0,0.0,0.2000001593038849,0.1999998650702057,0.0,0.1999996817528296,0.2000004959766323,0.2000006226309765,0.0,0.0
2019-02-20,0.0,0.0,0.199999860089795,0.1999997900047611,0.0,0.0,0.2000012843095723,0.1999997904932475,0.0,0.1999998453369281
2019-03-07,0.0,0.1999994747765276,0.200000534008618,0.2000003513740893,0.0,0.0,0.1999999985894666,0.2000001394233031,0.0,0.0
2019-03-22,0.0,0.0,0.1999998568918647,0.1999999916430134,0.0,0.200000734045397,0.2000005075880336,0.1999974206212946,0.0,0.0
2019-04-09,0.0,0.0,0.1999999992602935,0.1999999031523644,0.0,0.199999652334653,0.2000001703403472,0.2000001017929948,0.0,0.0
2019-04-24,0.0,0.0,0.1999997673417465,0.2000003629762603,0.0,0.2000003536704824,0.1999995777066099,0.1999997237125614,0.0,0.0
2019-05-14,0.0,0.0,0.1999999938488421,0.200000043071157,0.0,0.1999999011009878,0.0,0.1999998938127194,0.0,0.1999998997460068
2019-05-29,0.0,0.0,0.2000002293345212,0.2000002193217711,0.0,0.199999862924495,0.0,0.1999997602595773,0.0,0.2000004630462593
2019-06-14,0.0,0.2000001783344588,0.2000001793960596,0.200000177647002,0.0,0.1999990259912086,0.0,0.0,0.0,0.2000001481652975
2019-07-01,0.0,0.0,0.2000004714577694,0.2000005010321989,0.0,0.2000118713109877,0.0,0.1999989471319978,0.0,0.2000006279840731
2019-07-16,0.0,0.0,0.1999998311431655,0.1999998284929159,0.0,0.2000011179148936,0.1999998376632861,0.1999998390059149,0.0,0.0
2019-07-31,0.0,0.0,0.1999990507513478,0.1999987728533148,0.0,0.0,0.1999996736446224,0.200000394051837,0.0,0.1999999970896541
2019-08-15,0.0,0.0,0.2000000043918101,0.2000000045467467,0.0,0.0,0.0,0.1999999278073449,0.2000000087104749,0.2000000045761291
2019-08-30,0.0,0.0,0.2000000001677948,0.2000000001797291,0.0,0.0,0.0,0.1999998850012054,0.2000000095064075,0.1999999998704879
2019-09-17,0.0,0.2000000779875943,0.1999997086157914,0.1999999382836102,0.0,0.2000000919979071,0.0,0.0,0.2000004763945835,0.0
2019-10-09,0.0,0.0,0.1999999868837392,0.1999999817221755,0.0,0.0,0.2000000667761827,0.1999999975137998,0.1999999829019347,0.0
2019-10-24,0.0,0.0,0.2000000355519197,0.2000001220956786,0.0,0.1999998257291025,0.0,0.2000001512902964,0.2000000658558852,0.0
2019-11-08,0.0,0.0,0.2000000062720816,0.0,0.0,0.1999999958787447,0.1999999917365116,0.1999999824022837,0.19999998479464,0.0
2019-11-25,0.0,0.0,0.2000000252147386,0.0,0.0,0.1999999831351116,0.2000000523681737,0.19999998778588,0.199999999826878,0.0
2019-12-10,0.0,0.0,0.1999998480282166,0.0,0.0,0.0,0.1999997906122825,0.1999997593178823,0.1999997784465515,0.2000017031608508
2019-12-25,0.0,0.2000000902312201,0.2000001324724185,0.2000000967799087,0.0,0.0,0.2000000238415807,0.0,0.2000001256262796,0.0
2020-01-10,0.2000000384224377,0.1999999936112859,0.1999999935975711,0.1999999937312168,0.0,0.0,0.1999999936203642,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.2000003340124711,0.200000273246661,0.0,0.0,0.1999999666403867,0.1999999500109429,0.0,0.2000001072379542
2020-02-19,0.0,0.0,0.1999961251208602,0.1999936226237141,0.0,0.0,0.1999990085479988,0.0,0.2000014391780843,0.1999967993074065
2020-03-05,0.1999993059996324,0.2000000904017588,0.1999999461711832,0.2000025924353334,0.0,0.0,0.0,0.0,0.0,0.1999988611952785
2020-03-20,0.2000000925014536,0.1999977311293755,0.2000000770811404,0.2000000768560392,0.0,0.0,0.0,0.0,0.0,0.2000002275880827
2020-04-07,0.1999999842197725,0.1999998825863863,0.1999999846246764,0.1999999844811001,0.0,0.0,0.0,0.0,0.0,0.1999999834985529
2020-04-22,0.0,0.0,0.1999999831205341,0.199999989432625,0.0,0.2000000107999101,0.0,0.0,0.2000000025622187,0.1999999900242176
2020-05-12,0.0,0.0,0.2000023647104275,0.1999934594313775,0.2000027631610799,0.0,0.1999950868259535,0.0,0.0,0.2000041015051603
2020-05-27,0.2000032223838439,0.0,0.1999997009619774,0.1999998397568115,0.0,0.0,0.0,0.0,0.1999998354717054,0.1999997803292848
2020-06-11,0.2000058670185876,0.0,0.0,0.1999907183980163,0.0,0.1999941207120952,0.0,0.2000024118559706,0.2000057617612686,0.0
2020-06-30,0.2000018353857006,0.2000020929499314,0.0,0.2000019424798165,0.2000019390022709,0.0,0.0,0.0,0.0,0.2000018255861106
