区间,天数,策略,沪深300,超额
2017-06-19 ~ 2018-02-12,238,0.06755929619125589,0.10553149404903817,-0.037972197857782275
2018-02-20 ~ 2018-03-23,31,0.005626243723184654,-0.01563413797971247,0.021260381702897124
2019-02-14 ~ 2019-08-07,174,0.057889498636138015,0.06605770334674732,-0.008168204710609306
2020-06-30 ~ 2020-12-24,177,0.1019728385787706,0.21663276330260928,-0.11465992472383868
2020-12-30 ~ 2021-04-09,100,0.01907069823053109,-0.0015070573911254437,0.020577755621656535
2023-03-21 ~ 2023-04-25,35,0.018728383788037206,0.005988708023193512,0.012739675764843694
2024-09-26 ~ 2025-03-17,172,0.0862550664493007,0.17499772161350924,-0.08874265516420854
2025-08-15 ~ 2026-02-09,178,0.09668534077283808,0.13077149792370957,-0.03408615715087149
